"trigger","amount"
"on",45
"along",14
"next to",12
"between",8
"over",7
"up",5
"covered",5
"down",5
"south",4
"below",4
"beneath",4
"surrounded",4
"above",4
"around",3
"behind",3
"east of",3
"under",3
"to",3
"of",3
"overlooking",3
"surrounding",3
"south of",2
"east",2
"north of",2
"atop",2
"Southeast of",2
"in front of",2
"On",2
"Down",2
"north",2
"on top",2
"in",2
"to the left",1
"West of",1
"facing",1
"Across",1
"across from",1
"alongside",1
"South­east of",1
"adjacent to",1
"surmounted",1
"west",1
"Facing",1
"next door to",1
"toward",1
"southwest",1
"beside",1
"in the direction to",1
"Along",1
"to the west from",1
"to SW",1
"coiling up",1
"on the right",1
"on top of",1
"backwards",1
"on your left",1
"in that direction",1
"In front of",1
"northeast",1
"neighboring",1
"line",1
"directly beneath",1
"across",1
"up to",1
"upstream from",1
"upon",1
"overlook",1
